,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
261,2011Q4,Capital region,198810,98240,100570,.,186620,12200
262,2011Q4, Reykjavikurborg,115580,57000,58580,.,107490,8080
263,2011Q4, Kopavogsbaer,30680,15200,15480,.,29030,1650
264,2011Q4, Seltjarnarnesbaer,4200,2050,2150,.,4010,180
265,2011Q4, Gardabaer,13410,6620,6800,.,13050,360
266,2011Q4, Hafnarfjardarkaupstadur,26030,12830,13200,.,24430,1610
267,2011Q4, Mosfellsbaer,8710,4440,4260,.,8400,300
268,2011Q4, Kjosarhreppur,210,110,100,.,210,5
269,2011Q4,Other regions,114400,58310,56090,.,107630,6770
270,2011Q4, Reykjanesbaer,13890,7010,6880,.,12730,1160
271,2011Q4, Grindavikurbaer,2780,1430,1350,.,2580,200
272,2011Q4, Sveitarfelagid Vogar,1100,570,530,.,1030,70
273,2011Q4, Sudurnesjabaer,3090,1610,1480,.,2730,360
274,2011Q4, Akraneskaupstadur,6520,3320,3200,.,6140,380
275,2011Q4, Skorradalshreppur,60,30,25,.,60,.
276,2011Q4, Hvalfjardarsveit,620,330,280,.,580,30
277,2011Q4, Borgarbyggd,3420,1760,1670,.,3290,140
278,2011Q4, Grundarfjardarbaer,890,440,450,.,780,110
279,2011Q4, Eyja- og Miklaholtshreppur,130,70,60,.,110,25
280,2011Q4, Snaefellsbaer,1710,880,830,.,1480,230
281,2011Q4, Sveitarfelagid Stykkisholmur,1150,600,550,.,1080,70
282,2011Q4, Dalabyggd,680,360,320,.,660,25
283,2011Q4, Bolungarvikurkaupstadur,870,450,430,.,780,90
284,2011Q4, Isafjardarbaer,3710,1860,1850,.,3380,330
285,2011Q4, Reykholahreppur,260,130,130,.,260,5
286,2011Q4, Vesturbyggd,1170,610,550,.,1030,130
287,2011Q4, Sudavikurhreppur,180,90,90,.,160,15
288,2011Q4, Arneshreppur,50,30,25,.,50,0
289,2011Q4, Kaldrananeshreppur,100,45,50,.,100,0
290,2011Q4, Strandabyggd,510,280,230,.,500,5
291,2011Q4, Hunathing vestra,1170,570,600,.,1130,40
292,2011Q4, Sveitarfelagid Skagastrond,500,260,240,.,490,10
293,2011Q4, Hunabyggd,1360,710,650,.,1270,90
294,2011Q4, Skagafjordur,4150,2100,2060,.,4030,120
295,2011Q4, Akureyrarbaer,17730,8730,8990,.,17300,430
296,2011Q4, Nordurthing,2860,1440,1430,.,2720,150
297,2011Q4, Fjallabyggd,2020,1020,990,.,1970,50
298,2011Q4, Dalvikurbyggd,1890,990,900,.,1720,170
299,2011Q4, Eyjafjardarsveit,1020,520,490,.,990,20
300,2011Q4, Horgarsveit,580,300,280,.,560,15
301,2011Q4, Svalbardsstrandarhreppur,380,190,190,.,350,25
302,2011Q4, Grytubakkahreppur,340,180,170,.,330,15
303,2011Q4, Tjorneshreppur,60,30,25,.,60,.
304,2011Q4, Thingeyjarsveit,1280,660,620,.,1250,35
305,2011Q4, Langanesbyggd,610,320,290,.,540,70
306,2011Q4, Fjardabyggd,4730,2530,2200,.,4300,440
307,2011Q4, Mulathing,4610,2380,2230,.,4370,240
308,2011Q4, Vopnafjardarhreppur,660,350,320,.,640,20
309,2011Q4, Fljotsdalshreppur,80,50,30,.,80,.
310,2011Q4, Vestmannaeyjabaer,4150,2170,1980,.,4000,150
311,2011Q4, Sveitarfelagid Arborg,7690,3890,3800,.,7410,290
312,2011Q4, Sveitarfelagid Hornafjordur,2120,1120,1000,.,2010,110
313,2011Q4, Myrdalshreppur,450,240,220,.,430,25
314,2011Q4, Skaftarhreppur,440,230,210,.,430,15
315,2011Q4, Asahreppur,200,100,100,.,180,15
